Client Domain ,User Phone Timezone ,Created At                  ,Email Clicks ,Email Opens ,Emails ,Expired ,Order Funnel State      ,Sms ,Sms Clicks ,Sms Opens ,Platforms Order Group - Order → Manager ,Platforms Order Group - Order → Source ,order_has_user_email ,order_has_user_phone
A             ,Unknown             ,2023-03-27T20:44:47.283091Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-02T15:16:41.600287Z ,           0 ,          3 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-02T14:20:01.939494Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-10T14:14:12.105397Z ,           3 ,          4 ,     4 ,      1 ,5-Widget loaded         ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-03T22:02:48.992561Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-02T15:40:55.825565Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-15T20:40:22.341309Z ,           2 ,          4 ,     4 ,      1 ,5-Widget loaded         ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T14:22:37.448971Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-03T14:10:18.836659Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-27T14:57:23.289756Z ,           1 ,          1 ,     1 ,      0 ,4-Notification click    ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
